video_name, What is in this video?, What is the person doing?, What are the people doing in the background?, Are people in the video focused or distracted?, Can you tell the mood of the person in the video?, Can you identify objects in the video?, Is anyone holding any object, what are they holding?, Are there any safety hazards in the place?, Can you tell the profession of people in the video?
6xR3o-ZxB2Q_000051_000061.mp4, ["In the video a person is seen adjusting a blue and white tie around their neck. They are wearing a black shirt and a black jacket. The person's hands are visible as they make adjustments to the tie."], ['The person is tying a tie.'], ['There are no people in the background of the image.'], ['The people in the video are focused on the task of tying a tie.'], ['The person in the video appears to be in a relaxed and casual mood.'], ['Yes the video shows a person wearing a black jacket and a blue tie.'], ['Yes the person in the image is holding a tie.'], ['There is no indication of any safety hazards in the image.'], ['There is no indication of the profession of the people in the video.']
9gaBd4rGIjU_000012_000022.mp4, ['In this video a woman is seen washing dishes in a kitchen. She turns on the faucet rinses a dish and places it on a towel.'], ['The person is washing dishes in the sink.'], ['The people in the background are washing dishes.'], ['The people in the video are focused on their tasks such as washing dishes and preparing food.'], ['The person in the video appears to be in a relaxed and casual mood as they are seen washing dishes in a kitchen.'], ['Yes the video shows a woman washing dishes in a kitchen sink. There is also a white cup on the counter and a newspaper on the table.'], ['Yes a woman is holding a knife in the video.'], ['Yes there is a knife on the counter which could be a safety hazard.'], ['The video does not provide any information about the profession of the people in the video.']
8VOYMj8YL3A_000068_000078.mp4, ['The video shows a woman walking onto a stage and then walking off.'], ['The person is walking on stage and then jumping in the air.'], ['The people in the background are watching the woman perform on stage.'], ['The video does not provide any information about the focus or distraction of the people in the video.'], ['The video does not provide any information about the mood of the person.'], ['Yes the video shows a woman wearing a white shirt and blue jeans performing on stage. There are also people in the audience watching her.'], ['Yes the woman is holding a piece of paper while walking on stage.'], ['There is no indication of any safety hazards in the video.'], ['The video does not provide any information about the professions of the people in the video.']
7mWdW7qryn0_000023_000033.mp4, ['The video shows a person using a blowtorch to heat a piece of metal.'], ['The person is holding a metal rod and using a torch to heat it.'], ['The people in the background are playing darts.'], ['The video shows people focused on their tasks with one person holding a knife and another person holding a knife and a lighter.'], ['The person in the video appears to be focused and skilled in their craft. The video showcases their expertise in glassblowing and their ability to create intricate designs.'], ['Yes the video shows a person holding a metal rod and a fire. There is also a sign with the word "curtis" on it.'], ['Yes a person is holding a metal rod in the video.'], ['Yes there is a fire hazard in the place.'], ['The video does not provide any information about the profession of the people in the video.']
3zCicHRg4JU_000001_000011.mp4, ['In the video a child is seen pushing a toy cart around a room. The child is wearing a green and black striped shirt and is pushing the cart with a colorful toy inside. The cart has wheels and is being pushed around the room.'], ['The person is pushing a toy cart with a baby in it.'], ['The people in the background are sitting on a couch.'], ['The video does not provide any information about the focus or distraction of the people in the video.'], ['The person in the video appears to be happy and content as they are playing with toys and pushing a toy cart around.'], ['Yes the video shows a child playing with a toy cart a yellow and purple toy and a yellow and blue toy.'], ['Yes the child is holding a toy.'], ['Yes there is a chair in the background of the video which could potentially be a safety hazard for the child.'], ['There is no indication of the profession of the people in the video.']
5Xtp9M5eU1s_000048_000058.mp4, ['In this video a woman is seen speaking to the camera while walking down a street. She is wearing a brown coat and glasses. The street is decorated with red lanterns and there are people walking in the background.'], ['The person is standing in front of a tree with red lanterns.'], ['The people in the background are walking around.'], ['The people in the video are focused on the camera and the woman who is speaking.'], ['The person in the video appears to be happy and smiling.'], ['Yes the video shows a woman wearing glasses and a brown coat a red lantern hanging from a tree and a person walking in the background.'], ['Yes there is a person holding a red lantern.'], ['Yes there is a safety hazard in the place. A person is seen walking on the sidewalk and there is a tree branch that is hanging over the sidewalk. This could potentially cause injury if someone were to walk into it.'], ['The video does not provide any information about the professions of the people in the video.']
75fbnFQ7B6w_000012_000022.mp4, ['The video shows a man bungee jumping off a bridge.'], ['The person is bungee jumping off a platform.'], ['The people in the background are standing on a platform.'], ['The video shows people looking around and not paying attention to the man who is about to jump.'], ['The person in the video appears to be excited and enthusiastic about the activity.'], ['Yes the video shows a man bungee jumping off a bridge. There are also people standing on the bridge and watching him.'], ['Yes the person is holding a rope.'], ['Yes there are safety hazards in the place. The man is bungee jumping from a high platform which is a dangerous activity that requires proper safety equipment and precautions. Additionally the video shows that there are other people present in the area which could pose a risk if they were to accidentally fall or be hit by the jumping man.'], ['The video does not provide any information about the profession of the people in the video.']
5c-lc5yzbNY_000110_000120.mp4, ['This video shows a group of people on a stage with one person holding a microphone and singing. The atmosphere appears to be lively and energetic possibly indicating a performance or a musical event. The stage is well-lit and there are some lights and equipment visible in the background.'], ['The person is standing in front of a microphone and singing.'], ['The people in the background are dancing.'], ['The people in the video are focused on the performance.'], ['The person in the video appears to be in a relaxed and happy mood.'], ['Yes the video shows a man in a white shirt holding a microphone and singing into it. There is also a person in a black shirt standing next to him. The background features a black wall with a white logo on it.'], ['Yes one of the men is holding a microphone.'], ['There is no existence of any safety hazards in the video.'], ['The video shows a group of people dancing and singing on a stage. It is not possible to determine their professions from the video alone.']
9zldxYuusdQ_000002_000012.mp4, ["The video shows a person's hand reaching for a roll of toilet paper. The hand appears to be pulling on the toilet paper which is mounted on a holder on a tiled wall. The lighting in the scene is warm suggesting an indoor setting possibly a bathroom."], ['The person is pulling toilet paper from a roll mounted on the wall.'], ["The image shows a person's hand reaching for toilet paper in a bathroom. There are no other people visible in the background."], ['The people in the video appear to be focused on their tasks as they are seen using toilet paper and other bathroom items.'], ['The video shows a person using toilet paper in a bathroom. The mood of the person is not explicitly clear from the video alone but it can be inferred that the person is likely in a private and personal setting such as a bathroom which is typically associated with privacy and routine activities.'], ['Yes the video shows a hand reaching for a roll of toilet paper.'], ['Yes the person in the image is holding a roll of toilet paper.'], ["The image shows a person's hand reaching for toilet paper in a bathroom. There are no visible safety hazards in the image. However it is important to ensure that the bathroom is well-lit and free from slippery surfaces to prevent accidents. Additionally keeping the toilet paper holder in a secure location can help prevent it from falling and causing injuries."], ['No the video does not provide any information about the profession of the people.']
8dxmZfKXwkU_000000_000010.mp4, ['This video shows a person shoveling snow off a deck.'], ['The person is shoveling snow off of a deck.'], ['The people in the background are shoveling snow off of a deck.'], ['The people in the video are focused on their tasks shoveling snow off of a deck and a sidewalk.'], ['The person in the video appears to be in a cheerful mood as they are seen smiling and laughing while shoveling snow.'], ['Yes the video shows a child shoveling snow off a deck a person standing on the deck and a dog walking on the deck.'], ['Yes the person in the video is holding a shovel.'], ['Yes the place appears to be slippery due to the snow on the wooden deck.'], ['The video does not provide any information about the profession of the people in the video.']
0-pec-6Tdxs_000186_000196.mp4, ['The video shows a woman with braided hair sitting in a room. She is seen playing with her hair and looking at the camera.'], ['The person is playing with her hair.'], ['The people in the background are sitting on a bed.'], ["The people in the video are focused on the woman's hair and her actions."], ['The person in the video appears to be happy and relaxed as they are seen smiling and laughing while playing with their hair.'], ['Yes the video shows a woman with braided hair wearing a black tank top and a necklace. There is also a bed with a blue sheet and a white pillow in the background.'], ['Yes the woman is holding a black hair tie in her right hand.'], ['There is no indication of any safety hazards in the image.'], ['The video does not provide any information about the professions of the people in the video.']
35Fa6wloUMA_000220_000230.mp4, ['In the video a man is seen kneeling down next to a small fire in the snow. He is wearing a red hat and an orange vest. He is using a stick to move the fire around and then stands up.'], ['The person is sitting in the snow and putting wood into a fire.'], ['The people in the background are standing in the snow.'], ['The people in the video are focused on the task at hand which is building a fire in the snow.'], ['The person in the video appears to be calm and relaxed enjoying the warmth of the fire in the snowy forest.'], ['Yes the video shows a man wearing a red hat and a backpack kneeling down next to a fire in the snow. There are also trees and a sign visible in the background.'], ['Yes the man is holding a stick.'], ['Yes there is a safety hazard in the place. The man is sitting near a fire in the snow which can be dangerous due to the risk of frostbite and hypothermia. Additionally the fire could potentially spread and cause damage to the surrounding area.'], ['The video does not provide any information about the profession of the people in the video.']
4FIzK-m681c_000012_000022.mp4, ['The video shows a man opening a bottle of beer and drinking it. There are also shots of the beer bottles and a man working in a brewery.'], ['The person is opening a bottle of beer.'], ['The people in the background are working in a brewery.'], ['The people in the video are focused on their tasks as they are seen working in a brewery and a kitchen.'], ['The person in the video appears to be happy and enjoying the beer.'], ['Yes the video shows a man opening a bottle of beer a man drinking from a glass and a bottle of beer with a pink label.'], ['Yes a man is holding a bottle of beer.'], ['Yes there are safety hazards in the place. The video shows a person with a tattoo on their arm which could be a potential safety hazard if the tattoo is sharp or if the person is not wearing proper protective gear. Additionally there are barrels in the background which could be a potential safety hazard if they are not properly secured or if they are being handled improperly.'], ['Yes the people in the video are working in a brewery.']
2PUFPYft2y0_000004_000014.mp4, ['This video shows a band performing on stage. The band members are playing guitars and singing while the audience is cheering and dancing.'], ['The person is standing in front of the stage.'], ['The people in the background are dancing to the music.'], ['The people in the video are focused on the band and the music they are playing.'], ['The person in the video appears to be enjoying the music and the atmosphere of the concert.'], ['Yes the video shows a group of people playing instruments on a stage. There are also people in the audience watching the performance.'], ['Yes there is a person holding a camera in the video.'], ['Yes there is a safety hazard in the place. A person is seen walking in front of the stage which could potentially cause a distraction or even harm to the performers or audience.'], ['The people in the video are playing musical instruments specifically guitars and drums.']
9SN2nJJNrjQ_000019_000029.mp4, ['The video shows a woman standing in front of a mirror in a gym. She is wearing a white sports bra and black shorts. She appears to be preparing to exercise or is in the middle of a workout routine. The gym has various exercise equipment visible in the background.'], ['The person is jumping rope in a gym.'], ['The people in the background are exercising.'], ['The video shows people in the gym but it is not clear whether they are focused or distracted.'], ['The person in the video appears to be in a positive mood as they are smiling while working out.'], ['Yes the video shows a woman in a gym. She is wearing a white sports bra and black shorts. There are also other people in the gym including a man in a blue shirt and shorts. The gym equipment includes a barbell and a weight bench.'], ['Yes the person in the video is holding a barbell.'], ["Yes there is a safety hazard in the place. The woman is standing in front of a mirror and there is a man running towards her. This could potentially cause an accident or injury if the man were to collide with the woman or the mirror. It is important to be aware of one's surroundings and to exercise caution when using mirrors in a gym or any other public space."], ['The video does not provide any information about the professions of the people.']
4H1XxUr-b20_000341_000351.mp4, ['In the video a man is seen working on a tire. He is wearing a green shirt and is kneeling down next to the tire. He is using a tool to work on the tire and is also seen holding a red spray can.'], ['The person is changing a tire.'], ['The people in the background are working on a car.'], ['The people in the video are focused on their tasks as they are seen working on the car and changing the tire.'], ['The person in the video appears to be focused and determined as they are working on a tire with a tire iron and a red and white spray can.'], ['Yes the video shows a person wearing a green shirt and black pants kneeling down next to a tire. There is also a red and white bottle on the ground.'], ['Yes a person is holding a tire.'], ['Yes there are safety hazards in the place. The person is seen using a tire inflator which can be dangerous if not handled properly. Additionally there are several bottles and a fire extinguisher nearby which can also pose a safety risk if not stored and used correctly.'], ['Yes the people in the video are likely mechanics or automotive technicians. They are seen working on a car tire and using tools to repair or maintain it.']
5QS_VBDwKzw_000022_000032.mp4, ["In the video a woman is seen putting rollers in a little girl's hair. The girl is sitting on a bed and the woman is standing behind her. The woman is wearing a black sweater and the girl is wearing a white outfit with a pattern. The video captures a moment of the woman styling the girl's hair."], ["The person is putting curlers in the girl's hair."], ['The people in the background are sitting on a bed.'], ["The people in the video appear to be focused on their tasks with the woman in the black sweater working on the child's hair and the woman in the white shirt sitting on the bed."], ['The person in the video appears to be in a relaxed and comfortable mood.'], ["Yes the video shows a woman and a child in a bedroom. The woman is holding a hair curler and appears to be styling the child's hair. The child is wearing a white shirt and has a toothbrush in their mouth. There is also a bed visible in the background."], ['Yes the woman is holding a curler in her hand.'], ['There is no indication of any safety hazards in the place.'], ['No the video does not provide any information about the profession of the people in the video.']
AvLQ-CXBiC4_001286_001296.mp4, ['The video shows a woman cooking in a kitchen. She is putting food into a pan of hot oil and frying it.'], ['The person is putting food into a pan of hot oil.'], ['The people in the background are preparing food.'], ['The people in the video are focused on the task at hand which is cooking. They are seen cooking food in a pan and in a kitchen.'], ['The person in the video appears to be happy and content while cooking.'], ['Yes the video shows a pan of oil on a stove a person putting food into the oil and a person holding a plate of food.'], ['Yes a woman is holding a piece of food in her hand.'], ['Yes there is a safety hazard in the place. The woman is cooking in a pan with hot oil which can be dangerous if not handled properly.'], ['Yes the people in the video are chefs.']
9z7SRAmaORA_000016_000026.mp4, ['The video shows a group of people standing at a table with a woman speaking into a microphone.'], ['The person is standing in front of a table with a microphone.'], ['The people in the background are sitting at tables and watching the people on stage.'], ['The video shows people standing around a table and dancing which suggests that they are focused on the celebration.'], ['The person in the video appears to be happy and smiling.'], ['Yes the video shows a table with flowers and a microphone.'], ['Yes a woman is holding a microphone.'], ['Yes there is a safety hazard in the place. A man is seen walking on a wet floor which could potentially cause him to slip and fall.'], ['Yes the people in the video are dressed in formal attire which suggests that they are attending a formal event or celebration.']
CN6ofq0g6DI_000005_000015.mp4, ['The video shows a man wearing an orange shirt who is juggling three balls. He is standing in a room with a white door and two framed pictures on the wall.'], ['The person in the video is juggling balls.'], ['The people in the background are playing with a ball.'], ['The video shows people in the room focused on the juggling act.'], ['The person in the video appears to be having fun and enjoying the activity of juggling.'], ['Yes the video shows a man wearing an orange shirt and a woman wearing a red shirt. The man is juggling balls while the woman is standing in the background.'], ['Yes the man is holding a ball in his hand while juggling.'], ['Yes there is a fire extinguisher hanging on the wall in the room where the man is juggling.'], ['The video does not provide any information about the profession of the people in the video.']
-5FkRTrnSfE_000014_000024.mp4, ['This video shows a man lifting a barbell in a gym. He lifts the barbell up to his chest then lifts it over his head before dropping it back down.'], ['The person is lifting a barbell in a gym.'], ['The people in the background are standing and watching the man lift the weights.'], ['The video shows people in the gym focused on their workout routines with no indication of distraction.'], ['The person in the video appears to be focused and determined as they lift the weight.'], ['Yes the video shows a man lifting a barbell in a gym.'], ['Yes the man is holding a barbell.'], ['Yes there is a safety hazard in the place. The man is lifting a weight over his head which can be dangerous if he loses control of the weight. Additionally the gym equipment is not being used properly which can also be a safety hazard.'], ['The video does not provide any information about the profession of the people in the video.']
3i0BeFFkGVQ_000026_000036.mp4, ['This video shows a person peeling a potato using a peeler. The person is holding the potato firmly and using the peeler to remove the skin. The video also includes a caption that reads "CARVE TOWARDS BODY IN SLOWER CAREFUL WAY" which suggests that the person is demonstrating a technique for carving or peeling the potato.'], ['The person is peeling a potato using a knife.'], ['The people in the background are cutting carrots and potatoes.'], ['The video shows people focused on their tasks with one person cutting a potato and another person cutting a carrot.'], ['The person in the video appears to be focused and skilled in their task of cutting and peeling vegetables.'], ['Yes the video shows a person peeling a potato with a knife on a wooden cutting board. There are also carrots and shredded carrots visible in the video.'], ['Yes the person is holding a knife and a potato.'], ['There is no indication of any safety hazards in the image.'], ['The video does not provide any information about the profession of the people in the video.']
4itLtc2Zpew_000058_000068.mp4, ['This video shows a group of people dancing on a dance floor. The dancers are wearing cowboy hats and appear to be enjoying themselves. The setting seems to be a Western-themed venue possibly a bar or a dance hall. The lighting is warm and inviting creating a cozy atmosphere.'], ['The person is dancing on the dance floor.'], ['The people in the background are sitting on chairs and watching the people dance.'], ['The people in the video are focused on dancing and enjoying the music.'], ['The person in the video appears to be having a good time as they are dancing and enjoying the music.'], ['Yes the video shows a group of people dancing on a wooden floor. There are also people sitting on chairs in the background.'], ['Yes there is a person holding a frisbee in the video.'], ['There is no indication of any safety hazards in the video.'], ['The video does not provide any information about the profession of the people in the video.']
0CV5LDRWwJ8_000135_000145.mp4, ['The video shows a man and a woman eating watermelon. The woman is holding a piece of watermelon and taking a bite while the man is smiling and looking at her. The scene appears to be taking place in a public area possibly a park or a market as there are other people in the background. The man is wearing a colorful shirt and the woman is wearing a dark shirt with some text on it.'], ['The person is eating watermelon.'], ['The people in the background are eating watermelon.'], ['The video shows people eating watermelon and enjoying themselves but it is not clear if they are focused or distracted.'], ['The person in the video appears to be happy and enjoying the moment.'], ['Yes in the video there are two people eating watermelon. The man is wearing a blue shirt with a floral pattern and the woman is wearing a dark-colored shirt. They are both enjoying their watermelon slices.'], ['Yes the woman is holding a watermelon slice.'], ['There is no indication of any safety hazards in the place.'], ['The video does not provide any information about the professions of the people in the video.']
3SW2DnuFrbI_000182_000192.mp4, ['The video shows a man cleaning gutters with a hose and a vacuum.'], ['The person is cleaning gutters using a hose.'], ['The people in the background are cleaning gutters.'], ['The video shows people focused on cleaning gutters while others are distracted by the man in the suit.'], ['The person in the video appears to be in a positive mood as they are smiling while cleaning the gutters.'], ['Yes the video shows a black van parked on the street a man holding a hose and a man standing on a roof.'], ['Yes a man is holding a hose in the video.'], ['Yes there is a safety hazard in the place. The man is standing on a ladder while cleaning the gutters which can be dangerous if he loses his balance or the ladder slips.'], ['Yes the people in the video are wearing suits and appear to be professionals.']
6Qemiiq4GCA_000039_000049.mp4, ['In the video a person is seen holding a box and examining it. The box appears to be a USB charger as indicated by the text on the box. The person is likely reviewing the product or preparing to use it.'], ['The person is holding a box and appears to be examining it.'], ['The people in the background are sitting at a table with a floral tablecloth.'], ['The video shows people sitting at a table but it is unclear whether they are focused or distracted.'], ['The person in the video appears to be in a relaxed and casual mood. They are sitting on a couch and holding a box which suggests they are in a comfortable and informal setting.'], ['Yes the video shows a person holding a box with a USB charger inside. There are also several bottles on the table including a bottle of water.'], ['Yes the person is holding a box.'], ['Yes there are safety hazards in the place. The table is cluttered with various items including a USB charger which could pose a fire hazard if not properly managed. Additionally there are bottles and other objects that could be hazardous if not stored properly. It is important to maintain a safe environment by keeping flammable items away from heat sources and ensuring that all items are stored securely.'], ['The video does not provide any information about the professions of the people.']
1OpF25si2p4_000355_000365.mp4, ['The video shows a group of people sitting at a table in a food court. They are eating various dishes including noodles and dumplings. The setting appears to be a busy food court with other patrons and staff in the background. The video captures the social and communal aspect of dining in a public space.'], ['The person is eating food.'], ['The people in the background are eating food.'], ['The people in the video are focused on eating their food.'], ['The person in the video appears to be happy and enjoying their meal.'], ['Yes I can identify several objects in the video. There are bowls of food on the table spoons a watch a necklace and a pair of sunglasses. Additionally there are people sitting at tables and chairs and a person wearing a red shirt.'], ['Yes there is a person holding a bottle.'], ['There are no visible safety hazards in the image. The people are sitting at tables with food and there are no signs of any hazards such as broken glass spills or tripping hazards.'], ['The video does not provide any information about the professions of the people in the video.']
3ylk2NJAXmY_000009_000019.mp4, ['In the video we see a man walking down the street with two little girls and a dog. The man is wearing a black shirt and sunglasses and the girls are wearing dresses. The dog is on a leash and appears to be a large breed. The street is lined with parked cars and there are trees and buildings in the background.'], ['The person is walking down the street with a dog.'], ['The people in the background are walking down the street.'], ['The people in the video are focused on their surroundings and the activities they are engaged in.'], ['The person in the video appears to be in a good mood as they are walking down the street with their dog and enjoying the sunny day.'], ['Yes the video shows a dog walking on the sidewalk a man walking with a child a car parked on the street and a person walking with a dog.'], ['Yes one of the children is holding a red flag.'], ['Yes there are safety hazards in the place. The man and the children are walking on the sidewalk which is not a safe place for them to be. The sidewalk is narrow and there are cars parked on the street which could cause accidents if the man or the children were to trip or fall. Additionally the man is walking with a dog which could also pose a safety hazard if the dog were to run away or attack someone.'], ['Yes the man in the video is a police officer.']
85MXZBPebWc_000000_000010.mp4, ['This video shows a person riding a snowmobile on a snowy trail. The rider is wearing a helmet and goggles and the trail is surrounded by trees. The video captures the thrill of snowmobiling in a snowy forest.'], ['The person is riding a snowmobile down a snowy trail.'], ['The people in the background are standing on the snow.'], ['The video shows people in the snow some of whom are focused on their surroundings while others are distracted.'], ['The person in the video appears to be having a good time and enjoying the snowy environment.'], ['Yes the video shows a snowmobile a snow-covered road and a stop sign.'], ['Yes a person is holding a snowboard in the video.'], ['Yes there is a stop sign in the place where the people are standing.'], ['The video does not provide any information about the profession of the people in the video.']
6GmfMTashYE_000252_000262.mp4, ['This video shows a person preparing a dish in a kitchen. The person is seen adding ingredients to a bowl including chopped vegetables and a white substance which could be cheese or another ingredient. The person then adds pepper to taste. The video appears to be a tutorial or demonstration of a cooking process.'], ['The person is adding pepper to the bowl.'], ['The people in the background are preparing food.'], ['The video shows people in the kitchen focused on preparing food.'], ['The person in the video appears to be in a relaxed and casual mood as they are seen standing in front of a kitchen counter and preparing food.'], ['Yes the video shows a bowl of food on a table a knife on the table and a person cutting food on the table.'], ['Yes the person is holding a knife.'], ['There is no indication of any safety hazards in the place.'], ['The video does not provide any information about the profession of the people in the video.']
6HSQ3zA72Vc_000010_000020.mp4, ['The video shows a baby sitting in a high chair and playing with toys.'], ['The person in the video is sitting in a baby bouncer and moving around.'], ['The people in the background are not clearly visible in the video.'], ['The video shows people in the background looking at the baby indicating that they are focused on the baby.'], ['The person in the video appears to be happy and content.'], ['Yes the video shows a baby sitting in a high chair with a toy in front of him. There is also a yellow ball on the floor and a blue and white toy in the background.'], ['Yes a person is holding a yellow ball in their hand.'], ['Yes there is a safety hazard in the place. A yellow ball is on the floor which could be a potential hazard for the baby.'], ['The video does not provide any information about the profession of the people in the video.']
4moOo-n6J0I_000032_000042.mp4, ['This video shows two boys arm wrestling while a woman watches.'], ['The person is playing a game of arm wrestling with another person.'], ['The people in the background are sitting on a couch and watching the arm wrestling match.'], ['The video shows people in the room being distracted by the arm wrestling match.'], ['The person in the video appears to be happy and excited as they are seen laughing and smiling while playing with the children.'], ['Yes the video shows a laptop on a table a person wearing a red shirt and a person wearing glasses.'], ['Yes one of the boys is holding a phone in his hand.'], ['There is no indication of any safety hazards in the place.'], ['The video does not provide any information about the profession of the people in the video.']
CzjK4LzCcoM_000343_000353.mp4, ['This video shows a group of people climbing up a snowy mountain. They are wearing helmets and using ropes to secure themselves. The climbers are using ice axes to help them navigate the steep incline. The video captures the challenging and adventurous nature of mountain climbing.'], ['The person is climbing up a snowy mountain.'], ['The people in the background are climbing up a snowy mountain.'], ['The people in the video are focused on their activities such as skiing and climbing and are not distracted by anything else.'], ['The person in the video appears to be in a calm and focused mood as they are climbing up the snowy mountain.'], ['Yes the video shows a man wearing a helmet and a green jacket holding a ski pole. There is also a person in a red jacket and a helmet and a person in a yellow jacket and a helmet. The video also shows a snowy mountain with a person in a green jacket and a helmet climbing it.'], ['Yes one person is holding a camera.'], ['Yes the place appears to be a mountain with snow and ice which can be a safety hazard. The man is wearing a helmet and holding a rope which suggests that he is taking precautions to avoid falling or slipping.'], ['Yes the people in the video are likely mountaineers or climbers. They are wearing helmets and climbing gear and they are climbing up a steep snowy slope.']
5lS8eRgHeRg_000021_000031.mp4, ["This video captures a swimming competition taking place in an outdoor pool. Several swimmers are seen racing across the pool with spectators and officials watching from the sidelines. The pool is divided into lanes by white and green lines and there are flags hanging above the pool likely indicating the lanes or the event's sponsors. The atmosphere appears to be lively and competitive with participants and onlookers engaged in the event."], ['The person is swimming in a pool.'], ['The people in the background are watching the swimmers.'], ['The people in the video are focused on the swimmers watching them as they race through the pool.'], ['The person in the video appears to be enjoying the event and having a good time.'], ['Yes the video shows a group of swimmers in a pool with people watching on the side. There are also flags and a sign visible in the background.'], ['Yes there is a person holding a camera in the video.'], ['There is no existence of any safety hazards in the place.'], ['The video does not provide any information about the professions of the people in the video.']
2emrOciST7I_000014_000024.mp4, ['This video shows a soccer game where a referee is giving a yellow card to a player.'], ['The person is holding up a yellow card.'], ['The people in the background are playing soccer.'], ['The video does not provide any information about the focus or distraction of the people in the video.'], ['The person in the video appears to be angry and upset.'], ['Yes the video shows a soccer player being shown a yellow card by the referee.'], ['Yes a man is holding a yellow card.'], ['There is no existence of any safety hazards in the video.'], ['Yes the people in the video are playing soccer.']
9vlCFO23oJA_000000_000010.mp4, ['The video shows two little girls standing in front of a cake with candles. One of the girls blows out the candles and the other girl looks at the cake.'], ['The person is standing next to the girls and holding a candle.'], ['The people in the background are standing and watching the children.'], ['The people in the video are focused on the cake with candles and the birthday celebration.'], ['The person in the video appears to be happy and excited as they are smiling and blowing out the candles on the cake.'], ['Yes the video shows a cake with candles a lit candle and a lit fire.'], ['Yes a woman is holding a candle.'], ['Yes there is a safety hazard in the place. The video shows a lit candle on a cake which can be a fire hazard if not handled properly.'], ['The video does not provide any information about the profession of the people in the video.']
Bs_Cw5vrwq4_000006_000016.mp4, ['In the video a baby is sitting in a high chair and eating food with a spoon. The baby is wearing a bib with colorful patterns. The background shows a dining table with chairs and a pink and white patterned rug on the floor.'], ['The person is feeding the baby.'], ['The people in the background are sitting at a table.'], ['The video shows people focused on their tasks such as eating and using their phones.'], ['The person in the video appears to be happy and content.'], ["Yes the video shows a baby sitting in a high chair with a bib on. There is a spoon in the baby's mouth and a table with a black tray and a chair can be seen in the background."], ['Yes the person is holding a spoon.'], ['Yes there is a safety hazard in the place. There is a knife on the table which could be dangerous for the baby.'], ['No the video does not provide any information about the professions of the people present.']
AvVzVUI6qOQ_000188_000198.mp4, ['In this video a man is seen shaving his face with a razor.'], ['The person is shaving his face with a razor.'], ['The people in the background are not shown in the video.'], ['The people in the video are focused on their grooming routine as they shave their faces and bodies with various tools and techniques.'], ['The person in the video appears to be calm and focused on the task at hand.'], ['Yes the video shows a man holding a razor and a razor blade.'], ['Yes a man is holding a razor in his hand.'], ['Yes there is a safety hazard in the place. The man is using a hair clipper to shave his beard which can be dangerous if not done properly.'], ['The video does not provide any information about the profession of the people in the video.']
DC_xTU3qaP8_000346_000356.mp4, ['In the video a woman is seen in a kitchen. She is holding a tray with food on it and appears to be preparing to serve or eat the food. The kitchen has wooden cabinets a microwave and various kitchen items on the countertops. The woman is wearing a light-colored top and seems to be in the process of cooking or serving a meal.'], ['The person is holding a tray of food and appears to be in the process of serving or preparing it.'], ['The people in the background are standing in the kitchen.'], ['The video shows people in the kitchen focused on their tasks with one woman holding a tray of food and another woman holding a knife.'], ['The person in the video appears to be happy and excited as they are smiling and dancing while preparing the food.'], ['Yes the video shows a woman in a kitchen holding a tray of food. There are also various kitchen items such as a knife a bowl a spoon a bottle a cup a fork a spoon a bowl a knife a spoon a bowl a knife a spoon a bowl a knife a spoon a bowl a knife a spoon a bowl a knife a spoon a bowl a knife a spoon a bowl a knife a spoon a bowl a knife a spoon a bowl a knife a spoon a bowl'], ['Yes the person is holding a tray of food.'], ['Yes there are safety hazards in the place. The woman is holding a hot pan with a potholder which can be dangerous if she drops it or if the potholder is not properly used. Additionally there are knives on the counter which can be dangerous if not stored properly or if someone accidentally cuts themselves.'], ['There is no information about the professions of the people in the video.']
DCrLOJvwtFk_000112_000122.mp4, ['The video shows a woman eating watermelon.'], ['The person is cutting a watermelon with a knife.'], ['The people in the background are standing around a table.'], ['The video shows people eating watermelon and enjoying themselves so it can be inferred that they are focused on the activity.'], ['The person in the video appears to be happy and enjoying the moment.'], ['Yes the video shows a woman cutting a watermelon with a knife.'], ['Yes a woman is holding a knife and a man is holding a fork.'], ['Yes there is a knife on the table which could be a safety hazard.'], ['The video does not provide any information about the profession of the people in the video.']
AWTPp6pMzgc_000095_000105.mp4, ['The video shows a person riding a surfboard on the water.'], ['The person is standing on a surfboard and riding the waves.'], ['The people in the background are standing on the beach.'], ['The people in the video are focused on their paddleboarding activity as they are seen riding along the water and enjoying the scenery.'], ['The person in the video appears to be having a good time and enjoying the experience of riding the surfboard.'], ['Yes the video shows a surfboard a paddle and a person riding a surfboard.'], ['Yes the person is holding a camera.'], ['Yes there are safety hazards in the place. The video shows a person standing on a surfboard in the water which can be dangerous if the person falls into the water. Additionally the video shows a person riding a surfboard in the water which can also be dangerous if the person falls into the water.'], ['The video does not provide any information about the profession of the people in the video.']
